City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hargeysa,9.56,44.065,26.21,44,80,13.7,SO,1690269561
1,puerto natales,-51.7236,-72.4875,-5.09,94,100,0.63,CL,1690269561
2,prado,-17.3411,-39.2208,19.66,96,74,2.31,BR,1690269307
3,nova odesa,47.3078,31.7851,28.95,45,48,7.68,UA,1690269562
4,axum,14.1245,38.7244,20.12,59,98,0.89,ET,1690269563
5,mozhga,56.4447,52.2276,21.87,50,49,3.49,RU,1690269564
6,cabo san lucas,22.8909,-109.9124,29.78,82,100,2.68,MX,1690269564
7,waitangi,-43.9535,-176.5597,11.01,98,100,1.34,NZ,1690269565
8,margaret river,-33.95,115.0667,14.43,89,100,4.15,AU,1690269565
9,luancheng,37.8792,114.6517,33.09,30,2,3.45,CN,1690269566
10,port-aux-francais,-49.35,70.2167,3.07,65,100,6.55,TF,1690269567
11,dok kham tai,19.1624,99.9934,32.69,52,98,0.91,TH,1690269567
12,doume,4.2333,13.45,20.74,97,97,1.15,CM,1690269568
13,ligaya,12.6599,120.8923,26.29,95,100,9.93,PH,1690269569
14,puerto ayora,-0.7393,-90.3518,24.75,95,100,1.79,EC,1690269569
15,edinburgh of the seven seas,-37.0676,-12.3116,14.95,82,100,16.53,SH,1690269570
16,sinabang,2.4803,96.3801,29.89,67,18,1.66,ID,1690269570
17,adamstown,-25.066,-130.1015,20.7,73,85,3.36,PN,1690269572
18,kapa'a,22.0752,-159.319,27.99,89,100,6.17,US,1690269572
19,thompson,55.7435,-97.8558,13.09,94,75,1.54,CA,1690269573
20,goz beida,13.95,20.55,30.42,53,80,4.46,TD,1690269574
21,kodiak,57.79,-152.4072,11.73,82,0,2.06,US,1690269574
22,bethel,41.3712,-73.414,23.63,84,0,0.0,US,1690269539
23,yellowknife,62.456,-114.3525,20.31,56,100,4.63,CA,1690269483
24,katsuura,35.1333,140.3,27.63,77,18,4.89,JP,1690269576
25,uturoa,-16.7333,-151.4333,26.75,84,10,6.4,PF,1690269577
26,iqaluit,63.7506,-68.5145,6.85,87,40,4.63,CA,1690269577
27,volya,51.7651,39.5404,24.05,55,100,5.36,RU,1690269578
28,enewetak,11.3474,162.3373,28.76,80,42,6.4,MH,1690269579
29,hermanus,-34.4187,19.2345,10.41,61,0,2.57,ZA,1690269579
30,port lincoln,-34.7333,135.8667,14.05,71,0,3.88,AU,1690269581
31,merizo village,13.2658,144.6691,26.31,96,100,5.41,GU,1690269581
32,port elizabeth,-33.918,25.5701,9.16,81,0,1.54,ZA,1690269492
33,stanley,54.868,-1.6985,13.74,83,0,4.12,GB,1690269583
34,pitea,65.3172,21.4794,14.05,83,95,2.55,SE,1690269583
35,badger,64.8,-147.5333,23.95,68,75,0.0,US,1690269584
36,talnakh,69.4865,88.3972,22.34,44,96,2.55,RU,1690269584
37,rossano,39.5751,16.6349,33.2,20,0,4.81,IT,1690269585
38,chui,-33.6971,-53.4616,10.84,92,100,5.71,UY,1690269586
39,blackmans bay,-43.0167,147.3167,11.4,70,72,2.11,AU,1690269586
40,lagunillas,10.1301,-71.2595,26.82,81,71,2.97,VE,1690269587
41,tralee,52.2704,-9.7026,12.34,88,7,1.13,IE,1690269587
42,luderitz,-26.6481,15.1594,12.42,82,3,1.35,NA,1690269588
43,ponta delgada,37.7333,-25.6667,21.4,83,75,2.06,PT,1690269589
44,seven pagodas,12.6264,80.1722,29.03,69,100,7.92,IN,1690269589
45,whitehorse,60.7161,-135.0538,15.43,77,75,2.06,CA,1690269590
46,afaahiti,-17.75,-149.2833,25.93,84,5,7.84,PF,1690269590
47,mokrous,51.2333,47.5167,25.1,47,1,3.87,RU,1690269591
48,mazagao,-0.115,-51.2894,24.03,90,5,1.12,BR,1690269591
49,kingston,17.997,-76.7936,26.8,82,70,0.89,JM,1690269536
50,west island,-12.1568,96.8225,26.99,65,100,8.75,CC,1690269592
51,vorgashor,67.5833,63.95,15.64,88,100,1.65,RU,1690269593
52,chernyshevskiy,63.0128,112.4714,30.31,35,96,1.41,RU,1690269594
53,saurimo,-9.6608,20.3916,22.54,31,0,3.11,AO,1690269596
54,champerico,14.3,-91.9167,25.35,90,100,3.43,GT,1690269596
55,san patricio,28.017,-97.5169,28.92,79,8,3.34,US,1690269597
56,georgetown,5.4112,100.3354,32.96,70,20,4.12,MY,1690269311
57,belyy yar,53.6039,91.3903,25.94,50,0,1.0,RU,1690269598
58,palikir - national government center,6.9248,158.1611,27.41,89,100,0.0,FM,1690269599
59,north madison,38.7678,-85.3966,19.34,97,0,1.34,US,1690269599
60,el calafate,-50.3408,-72.2768,-5.02,72,100,1.47,AR,1690269600
61,q'vareli,41.9549,45.8172,28.67,50,67,2.21,GE,1690269600
62,riviere-du-loup,47.8304,-69.5342,20.15,77,81,2.06,CA,1690269601
63,twon-brass,4.3151,6.2418,25.91,81,89,3.39,NG,1690269601
64,kingscliff,-28.2667,153.5667,18.2,55,0,5.14,AU,1690269602
65,mombetsu,44.3525,143.3525,29.01,84,40,1.03,JP,1690269603
66,kununurra,-15.7667,128.7333,23.99,22,0,5.14,AU,1690269440
67,conselheiro lafaiete,-20.6603,-43.7861,12.8,95,16,0.67,BR,1690269604
68,ushuaia,-54.8,-68.3,-3.19,74,0,2.06,AR,1690269605
69,tura,25.5198,90.2201,31.98,65,90,1.29,IN,1690269607
70,bredasdorp,-34.5322,20.0403,8.4,67,0,1.53,ZA,1690269607
71,ulsteinvik,62.3432,5.8487,15.42,87,100,5.81,NO,1690269608
72,port alfred,-33.5906,26.891,12.98,51,0,3.18,ZA,1690269609
73,wenchang,30.904,118.4887,34.08,56,100,2.02,CN,1690269609
74,ugoofaaru,5.6667,73.0,28.26,78,100,5.07,MV,1690269610
75,tazacorte,28.629,-17.9293,22.54,85,75,4.63,ES,1690269611
76,ust-nera,64.5667,143.2,20.39,66,48,3.02,RU,1690269611
77,lihue,21.9789,-159.3672,27.58,86,100,6.17,US,1690269612
78,burauen,10.9756,124.8928,27.74,84,100,8.04,PH,1690269613
79,guerrero negro,27.9769,-114.0611,20.18,81,12,4.91,MX,1690269613
80,salekhard,66.53,66.6019,24.65,54,100,4.11,RU,1690269455
81,gadzhiyevo,69.2551,33.3362,10.02,94,100,3.79,RU,1690269614
82,northam,51.0333,-4.2167,15.22,90,17,2.51,GB,1690269616
83,ribeira grande,38.5167,-28.7,21.22,88,75,3.58,PT,1690269616
84,grytviken,-54.2811,-36.5092,-2.98,80,16,5.33,GS,1690269617
85,novaya igirma,57.1334,103.9112,27.73,37,94,1.55,RU,1690269618
86,olonkinbyen,70.9221,-8.7187,5.3,90,100,4.44,SJ,1690269618
87,invercargill,-46.4,168.35,7.15,77,100,8.77,NZ,1690269619
88,teknaf,20.8624,92.3058,30.0,76,100,7.6,BD,1690269619
89,port mathurin,-19.6833,63.4167,23.54,75,11,8.33,MU,1690269620
90,bathsheba,13.2167,-59.5167,27.34,89,75,8.23,BB,1690269620
91,hlucin,49.8979,18.192,21.57,72,98,4.32,CZ,1690269621
92,palmer,42.1584,-72.3287,21.47,84,100,0.0,US,1690269622
93,longyearbyen,78.2186,15.6401,10.91,71,40,2.57,SJ,1690269622
94,fale old settlement,-9.3852,-171.2468,28.96,73,4,8.96,TK,1690269623
95,banff,51.1762,-115.5698,22.57,45,1,2.57,CA,1690269623
96,hadibu,12.65,54.0333,26.74,69,33,13.67,YE,1690269624
97,jamestown,42.097,-79.2353,17.77,89,0,2.06,US,1690269624
98,bairnsdale,-37.8333,147.6167,12.81,72,5,1.73,AU,1690269625
99,st. john's,47.5649,-52.7093,19.6,93,75,6.69,CA,1690269332
100,dobrinka,52.1653,40.4731,19.71,69,100,5.13,RU,1690269627
101,sakakah,29.9697,40.2064,34.76,13,0,3.77,SA,1690269627
102,vadso,70.0744,29.7487,10.09,93,75,7.72,NO,1690269628
103,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,53,75,4.0,RU,1690269352
104,zhanibek,49.4167,46.85,28.55,36,3,2.41,KZ,1690269629
105,bayramaly,37.6185,62.1671,38.86,8,0,5.52,TM,1690269630
106,avarua,-21.2078,-159.775,22.03,73,100,2.06,CK,1690269631
107,ballina,-28.8667,153.5667,15.99,63,2,4.78,AU,1690269631
108,utrik,11.2278,169.8474,28.57,73,100,7.07,MH,1690269632
109,ilulissat,69.2167,-51.1,4.01,93,100,2.57,GL,1690269633
110,tiksi,71.6872,128.8694,5.38,74,47,3.11,RU,1690269633
111,andop,7.8611,125.7539,28.65,77,100,5.15,PH,1690269634
112,alofi,-19.0595,-169.9187,20.94,68,9,2.06,NU,1690269635
113,yellandu,17.6,80.3333,27.71,82,99,7.35,IN,1690269635
114,college,64.8569,-147.8028,23.99,62,75,0.0,US,1690269340
115,la passe,45.5549,-0.8967,18.13,64,100,8.09,FR,1690269636
116,slantsy,59.1182,28.0914,18.73,62,100,2.88,RU,1690269637
117,mata-utu,-13.2816,-176.1745,27.05,73,99,8.42,WF,1690269637
118,bandeirantes,-23.11,-50.3675,15.87,67,0,1.45,BR,1690269638
119,mitu,1.1983,-70.1733,21.37,98,96,0.68,CO,1690269639
120,bargaal,11.2864,51.0773,34.07,39,43,13.38,SO,1690269639
121,cedeira,43.6797,-8.0209,18.32,71,98,2.76,ES,1690269640
122,karratha,-20.7377,116.8463,22.55,50,0,8.73,AU,1690269640
123,kuchaiburi,22.2667,86.1667,32.19,61,69,7.44,IN,1690269641
124,albany,42.6001,-73.9662,18.66,92,0,1.21,US,1690269642
125,haiku-pauwela,20.9219,-156.3051,24.59,79,0,9.26,US,1690269642
126,sur,22.5667,59.5289,29.26,70,100,2.63,OM,1690269644
127,barcelos,41.5388,-8.6151,18.29,80,1,1.87,PT,1690269644
128,togur,58.3631,82.8265,25.18,50,96,1.9,RU,1690269645
129,cacador,-26.7753,-51.015,11.61,89,0,1.38,BR,1690269645
130,constantia,44.1833,28.65,30.39,53,10,7.18,RO,1690269368
131,klyuchi,52.2667,79.1667,28.35,32,100,6.32,RU,1690269647
132,nagqu,31.5,92.0,12.83,62,96,3.84,CN,1690269647
133,choix,26.7092,-108.3219,26.35,88,100,0.51,MX,1690269648
134,hirna,9.2167,41.1,21.91,67,43,3.47,ET,1690269377
135,remire-montjoly,4.9167,-52.2667,23.02,100,65,0.0,GF,1690269649
136,nova sintra,14.8667,-24.7167,22.27,84,100,7.85,CV,1690269650
137,hasaki,35.7333,140.8333,32.39,78,100,5.86,JP,1690269651
138,justo daract,-33.8594,-65.1828,6.28,79,88,4.66,AR,1690269651
139,jauja,-11.7758,-75.4966,6.07,60,0,0.31,PE,1690269652
140,nemuro,43.3236,145.575,19.26,98,95,2.1,JP,1690269652
141,hinatuan,8.3722,126.3342,31.8,61,100,4.09,PH,1690269653
142,cidreira,-30.1811,-50.2056,17.31,99,100,2.63,BR,1690269654
143,lorengau,-2.0226,147.2712,25.68,89,100,4.72,PG,1690269654
144,iskateley,67.6803,53.1512,21.9,54,28,3.99,RU,1690269655
145,carnarvon,-24.8667,113.6333,22.04,60,100,11.39,AU,1690269655
146,essaouira,31.5125,-9.77,21.72,83,0,4.63,MA,1690269656
147,ta`u,-14.2336,-169.5144,25.91,71,19,5.99,AS,1690269657
148,zouerate,22.7187,-12.4521,25.22,41,4,4.67,MR,1690269657
149,pama,11.2497,0.7075,23.77,89,84,2.82,BF,1690269658
150,tangalle,6.024,80.7911,30.06,65,100,7.07,LK,1690269658
151,as sulayyil,20.4607,45.5779,40.14,6,46,2.59,SA,1690269659
152,kargasok,59.0556,80.8572,25.61,43,3,3.06,RU,1690269660
153,ixtapa,20.7,-105.2,24.01,100,100,1.34,MX,1690269660
154,mount pearl,47.5166,-52.7813,18.58,93,75,6.69,CA,1690269661
155,bamboo flat,11.7,92.7167,32.05,66,40,7.2,IN,1690269661
156,yashkul',46.1711,45.3435,27.82,50,9,1.49,RU,1690269662
157,souillac,-20.5167,57.5167,25.21,78,40,5.14,MU,1690269663
158,hsinchu,24.8036,120.9686,36.99,58,4,1.79,TW,1690269663
159,sitka,57.0531,-135.33,14.94,77,0,3.09,US,1690269664
160,karacabey,40.2152,28.4038,26.21,34,0,1.29,TR,1690269665
161,aasiaat,68.7098,-52.8699,2.92,93,100,3.69,GL,1690269665
162,mejit,10.2753,170.8646,28.38,76,100,8.04,MH,1690269666
163,mozirje,46.3394,14.9633,18.12,98,100,0.55,SI,1690269666
164,cabedelo,-6.9811,-34.8339,22.37,82,63,5.29,BR,1690269667
165,selkirk,50.1436,-96.8845,19.5,81,7,3.55,CA,1690269494
166,udachny,66.4167,112.4,21.81,48,99,2.08,RU,1690269668
167,dudinka,69.4058,86.1778,22.57,44,0,6.63,RU,1690269669
168,yuzhno-kurilsk,44.0306,145.8556,21.87,86,35,0.73,RU,1690269669
169,omaruru,-21.4333,15.9333,18.92,26,2,2.6,NA,1690269670
170,papatowai,-46.5619,169.4708,6.67,81,34,8.34,NZ,1690269671
171,hithadhoo,-0.6,73.0833,28.21,77,98,6.49,MV,1690269671
172,jayapura,-2.5333,140.7,29.66,83,87,3.27,ID,1690269672
173,maych'ew,12.7875,39.5422,20.88,52,83,2.24,ET,1690269673
174,tayoltita,24.0833,-105.9333,21.13,82,100,1.56,MX,1690269673
175,fuerte olimpo,-21.0415,-57.8738,17.94,52,0,1.59,PY,1690269674
176,kittila,67.6647,24.8936,12.56,87,100,3.09,FI,1690269675
177,warrnambool,-38.3833,142.4833,12.94,69,59,2.76,AU,1690269445
178,svetlyy,54.675,20.1347,20.54,78,3,6.26,RU,1690269676
179,codrington,-38.2667,141.9667,12.12,76,78,2.84,AU,1690269676
180,prince george,53.9166,-122.753,12.92,98,100,2.06,CA,1690269677
181,bilibino,68.0546,166.4372,11.87,89,100,0.61,RU,1690269678
182,egilsstadir,65.2653,-14.3948,6.69,91,100,2.45,IS,1690269678
183,cururupu,-1.8283,-44.8683,22.89,95,2,0.82,BR,1690269679
184,huarmey,-10.0681,-78.1522,19.95,84,56,3.54,PE,1690269679
185,payyannur,12.1,75.2,26.5,81,100,2.16,IN,1690269680
186,acarau,-2.8856,-40.12,24.77,81,27,6.85,BR,1690269681
187,jaisalmer,26.9147,70.9181,33.27,57,100,2.44,IN,1690269682
188,kalsdorf bei graz,46.961,15.4723,18.53,84,100,3.09,AT,1690269683
189,saipan,15.1355,145.701,29.39,100,20,5.14,MP,1690269683
190,axim,4.8699,-2.2405,24.7,91,99,0.57,GH,1690269684
191,varkaus,62.3153,27.873,16.84,78,86,0.32,FI,1690269685
192,nuevitas,21.5453,-77.2644,26.9,84,39,4.11,CU,1690269685
193,ghat,24.9647,10.1728,33.79,14,6,1.5,LY,1690269642
194,lebu,-37.6167,-73.65,11.23,86,100,5.75,CL,1690269686
195,taoudenni,22.6783,-3.9836,37.74,17,4,2.71,ML,1690269687
196,llanes,43.4198,-4.7549,17.78,78,17,6.28,ES,1690269688
197,imst,47.2684,10.6698,8.88,96,100,0.5,AT,1690269689
198,nizhniy odes,63.6445,54.856,21.43,55,96,3.92,RU,1690269689
199,chonchi,-42.6128,-73.8092,7.84,94,100,3.58,CL,1690269690
200,oleszyce,50.1675,23.0348,22.17,72,100,5.0,PL,1690269690
201,isafjordur,66.0755,-23.124,11.02,87,100,1.54,IS,1690269691
202,island harbour,50.724,-1.2758,15.73,90,22,0.45,GB,1690269692
203,bondo,3.8146,23.6866,22.0,98,100,1.31,CD,1690269692
204,strugi-krasnyye,58.2675,29.1114,17.92,67,84,2.97,RU,1690269693
205,mochudi,-24.4167,26.15,14.33,58,64,6.51,BW,1690269694
206,nadym,65.5333,72.5167,26.78,47,100,3.27,RU,1690269694
207,pribrezhnyy,53.4866,49.8584,24.62,40,11,2.25,RU,1690269696
208,kudahuvadhoo,2.6708,72.8944,28.35,77,84,4.01,MV,1690269696
209,igrim,63.1906,64.4162,20.36,69,100,1.4,RU,1690269697
210,hami,42.8,93.45,37.34,10,0,4.31,CN,1690269698
211,cole harbour,44.6724,-63.4751,21.1,84,100,1.54,CA,1690269698
212,ad duraykish,34.8967,36.1329,31.34,44,0,5.15,SY,1690269699
213,yesan,36.6776,126.8427,28.41,78,100,4.11,KR,1690269700
214,greenville,35.6127,-77.3663,23.09,94,0,0.0,US,1690269602
215,mili,6.0815,171.735,28.48,77,63,4.51,MH,1690269701
216,zeribet el oued,34.6828,6.5111,37.18,8,0,2.64,DZ,1690269701
217,sola,-13.8833,167.55,25.94,84,82,4.25,VU,1690269702
218,markaz-e hukumat-e darweshan,31.1323,64.1934,38.71,25,61,4.02,AF,1690269703
219,keflavik,64.0049,-22.5624,10.95,93,75,0.51,IS,1690269703
220,tshikapa,-6.4167,20.8,28.98,30,3,1.61,CD,1690269704
221,sisimiut,66.9395,-53.6735,4.34,91,65,6.45,GL,1690269704
222,palmas,-10.2128,-48.3603,22.93,53,0,3.6,BR,1690269705
223,fu'an,27.0892,119.6453,32.58,62,100,2.51,CN,1690269706
224,kharp,66.8014,65.8081,22.05,71,100,3.26,RU,1690269706
225,kirakira,-10.4544,161.9205,26.54,87,77,2.41,SB,1690269707
226,harda khas,22.3333,77.1,30.38,73,91,3.85,IN,1690269708
227,nobres,-14.7203,-56.3275,20.03,46,0,1.67,BR,1690269708
228,ancud,-41.8697,-73.8203,8.79,89,100,10.45,CL,1690269512
229,yakeshi,49.2833,120.7333,24.46,64,100,2.13,CN,1690269709
230,hamilton,39.1834,-84.5333,20.23,94,0,1.54,US,1690269465
231,mus,39.0,41.75,26.02,43,0,5.08,TR,1690269711
232,oranjemund,-28.55,16.4333,14.84,44,1,3.09,NA,1690269712
233,sinop,41.7711,34.8709,22.24,46,0,1.75,TR,1690269713
234,nguigmi,14.2495,13.1092,29.54,50,100,6.31,NE,1690269714
235,punta arenas,-53.15,-70.9167,-2.09,89,54,1.98,CL,1690269714
236,mar del plata,-38.0023,-57.5575,7.19,80,20,6.71,AR,1690269453
237,bulgan,48.8125,103.5347,22.41,52,89,0.86,MN,1690269715
238,atafu village,-8.5421,-172.5159,29.16,73,4,9.14,TK,1690269716
239,priozersk,61.0393,30.1291,14.38,92,100,2.15,RU,1690269716
240,creel,27.75,-107.6333,15.84,38,4,1.77,MX,1690269717
241,tortoli,39.9256,9.6572,34.9,29,0,3.6,IT,1690269431
242,queenstown,-31.8976,26.8753,8.67,30,63,1.8,ZA,1690269719
243,broken hill,-31.95,141.4333,14.55,44,0,3.28,AU,1690269555
244,vaskelovo,60.3693,30.3534,19.98,49,32,4.0,RU,1690269720
245,fisterra,42.9049,-9.2629,13.75,71,96,4.01,ES,1690269721
246,quiberon,47.4841,-3.1196,16.71,82,9,2.24,FR,1690269722
247,tubize,50.6904,4.2069,14.82,92,100,2.49,BE,1690269722
248,akrehamn,59.2667,5.1833,14.44,88,75,13.38,NO,1690269723
249,anadyr,64.75,177.4833,11.28,87,100,2.0,RU,1690269724
250,kerikeri,-35.2268,173.9474,11.06,87,99,0.89,NZ,1690269724
251,santo antonio do ica,-3.1022,-67.9397,22.45,91,15,0.63,BR,1690269725
252,paks,46.6265,18.8596,25.69,57,42,2.69,HU,1690269725
253,fauske,67.2588,15.3918,18.86,75,99,0.5,NO,1690269726
254,saldanha,-33.0117,17.9442,8.03,70,0,4.2,ZA,1690269727
255,san julian,21.0167,-102.1667,13.2,89,100,1.38,MX,1690269727
256,qaqortoq,60.7167,-46.0333,5.91,91,100,1.59,GL,1690269728
257,baiyin,36.5583,104.2081,32.36,20,52,2.18,CN,1690269728
258,bardai,11.65,7.2333,22.89,82,24,5.45,NG,1690269730
259,freetown,8.484,-13.2299,24.84,88,75,3.09,SL,1690269706
260,new norfolk,-42.7826,147.0587,12.06,74,99,1.56,AU,1690269732
261,masterton,-40.9597,175.6575,10.49,93,31,1.21,NZ,1690269732
262,serchhip,23.3,92.8333,28.81,68,89,1.11,IN,1690269733
263,bikenibeu village,1.3673,173.1241,27.98,83,40,5.66,KI,1690269734
264,ust'-ilimsk,58.0006,102.6619,27.09,40,86,1.95,RU,1690269734
265,wewak,-3.5534,143.6268,26.27,87,100,5.27,PG,1690269735
266,homosassa springs,28.8036,-82.5759,23.45,94,40,0.0,US,1690269735
267,kiunga,-6.1219,141.2906,26.92,72,84,1.9,PG,1690269736
268,touros,-5.1989,-35.4608,22.46,89,57,6.07,BR,1690269458
269,papao,-17.75,-149.55,26.82,87,5,8.73,PF,1690269737
270,whakatane,-37.9585,176.9854,12.51,78,14,0.45,NZ,1690269738
271,at taj,24.2049,23.2857,34.48,18,0,6.56,LY,1690269739
272,ouarzazat,30.9189,-6.8934,27.16,26,0,2.06,MA,1690269739
273,rockingham,42.9668,-71.0995,20.95,86,0,2.05,US,1690269740
274,bluefields,12.0137,-83.7635,26.41,89,100,5.05,NI,1690269740
275,san antonio,29.4241,-98.4936,28.29,75,0,2.57,US,1690269518
276,tazovsky,67.4667,78.7,20.27,65,100,4.28,RU,1690269742
277,tual,-5.6667,132.75,24.48,78,100,10.3,ID,1690269742
278,pacific grove,36.6177,-121.9166,15.75,87,0,1.79,US,1690269743
279,puerto baquerizo moreno,-0.9,-89.6,24.32,87,100,6.16,EC,1690269744
280,nizhneudinsk,54.9076,99.0276,24.15,49,27,1.56,RU,1690269745
281,arteche,12.2645,125.4048,28.55,75,100,6.87,PH,1690269745
282,pisco,-13.7,-76.2167,16.12,82,5,1.54,PE,1690269746
283,murzuq,25.9155,13.9184,33.84,17,0,6.41,LY,1690269747
284,wamba,8.9333,8.6,23.79,86,48,0.93,NG,1690269747
285,al jawf,29.5,38.75,33.87,16,0,4.19,SA,1690269748
286,kuanda,56.3161,116.0806,27.49,45,29,0.86,RU,1690269748
287,qamdo,31.1667,97.2333,7.35,82,100,2.94,CN,1690269749
288,devonport,-41.1667,146.35,13.07,81,13,4.57,AU,1690269750
289,machico,32.7,-16.7667,23.89,76,40,4.12,PT,1690269750
290,cockburn town,21.4612,-71.1419,28.51,76,17,6.92,TC,1690269578
291,nouadhibou,20.931,-17.0347,20.95,86,90,6.15,MR,1690269752
292,antigonish,45.6169,-61.9986,20.71,87,100,2.19,CA,1690269752
293,poinciana,28.1403,-81.4584,25.68,89,0,1.54,US,1690269753
294,happy valley-goose bay,53.3168,-60.3315,15.17,82,75,3.09,CA,1690269754
295,usinsk,65.9939,57.5281,22.75,47,8,1.56,RU,1690269754
